event_id,det_id,track_id,xtop,ytop,z,xbot,ybot,StatNb,ViewNb,PlaneNb,LayerNb,StrawNb
13.0,20002237.0,3.0,225.012214055,53.8762269248,2781.15,-225.012214055,53.8762269248,2.0,0.0,0.0,0.0,237.0
13.0,20112237.0,3.0,225.012214055,54.3162269248,2784.85,-225.012214055,54.3162269248,2.0,0.0,1.0,1.0,237.0
13.0,21012243.0,3.0,220.272643596,63.9977836727,2792.25,-228.039305699,24.7755703862,2.0,1.0,0.0,1.0,243.0
13.0,21102242.0,3.0,220.239524414,64.376337658,2793.75,-228.072424882,25.1541243715,2.0,1.0,1.0,0.0,242.0
13.0,22002231.0,3.0,229.740585798,44.2212908929,2801.15,-218.571363498,83.4435041795,2.0,2.0,0.0,0.0,231.0
13.0,22102231.0,3.0,229.702237271,43.7829652258,2803.75,-218.609712024,83.0051785123,2.0,2.0,1.0,0.0,231.0
13.0,22112231.0,3.0,229.778934325,44.6596165601,2804.85,-218.533014971,83.8818298467,2.0,2.0,1.0,1.0,231.0
13.0,23012237.0,3.0,225.012214055,54.7562269248,2812.25,-225.012214055,54.7562269248,2.0,3.0,0.0,1.0,237.0
13.0,23102236.0,3.0,225.012214055,55.1362269248,2813.75,-225.012214055,55.1362269248,2.0,3.0,1.0,0.0,236.0
13.0,30002250.0,3.0,249.9992,75.0,3321.15,-249.9992,75.0,3.0,0.0,0.0,0.0,250.0
13.0,30012251.0,3.0,249.9992,74.18,3322.25,-249.9992,74.18,3.0,0.0,0.0,1.0,251.0
13.0,30102250.0,3.0,249.9992,74.56,3323.75,-249.9992,74.56,3.0,0.0,1.0,0.0,250.0
13.0,31012256.0,3.0,243.323488384,87.218933733,3332.25,-254.772266751,43.6412018083,3.0,1.0,0.0,1.0,256.0
13.0,31102255.0,3.0,243.290369201,87.5974877183,3333.75,-254.805385933,44.0197557936,3.0,1.0,1.0,0.0,255.0
13.0,32012245.0,3.0,256.40207914,62.2700426627,3342.25,-241.693675994,105.847774587,3.0,2.0,0.0,1.0,245.0
13.0,32112245.0,3.0,256.363730613,61.8317169955,3344.85,-241.732024521,105.40944892,3.0,2.0,1.0,1.0,245.0
13.0,33012250.0,3.0,249.9992,75.88,3352.25,-249.9992,75.88,3.0,3.0,0.0,1.0,250.0
13.0,33102249.0,3.0,249.9992,76.26,3353.75,-249.9992,76.26,3.0,3.0,1.0,0.0,249.0
13.0,40012245.0,3.0,249.9992,84.38,3522.25,-249.9992,84.38,4.0,0.0,0.0,1.0,245.0
13.0,40112245.0,3.0,249.9992,83.94,3524.85,-249.9992,83.94,4.0,0.0,1.0,1.0,245.0
13.0,41012250.0,3.0,242.434499807,97.3801196535,3532.25,-255.661255327,53.8023877289,4.0,1.0,0.0,1.0,250.0
13.0,41112250.0,3.0,242.472848334,96.9417939864,3534.85,-255.6229068,53.3640620617,4.0,1.0,1.0,1.0,250.0
13.0,42012240.0,3.0,257.142902954,70.7376975964,3542.25,-240.952852181,114.315429521,4.0,2.0,0.0,1.0,240.0
13.0,42102239.0,3.0,257.176022136,71.1162515817,3543.75,-240.919732999,114.693983506,4.0,2.0,1.0,0.0,239.0
13.0,43002244.0,3.0,249.9992,85.2,3551.15,-249.9992,85.2,4.0,3.0,0.0,0.0,244.0
13.0,43112244.0,3.0,249.9992,85.64,3554.85,-249.9992,85.64,4.0,3.0,1.0,1.0,244.0
17.0,10002205.0,4.0,225.012214055,108.276226925,2581.15,-225.012214055,108.276226925,1.0,0.0,0.0,0.0,205.0
17.0,10012206.0,4.0,225.012214055,107.456226925,2582.25,-225.012214055,107.456226925,1.0,0.0,0.0,1.0,206.0
17.0,10102205.0,4.0,225.012214055,107.836226925,2583.75,-225.012214055,107.836226925,1.0,0.0,1.0,0.0,205.0
17.0,11012214.0,4.0,215.975865479,113.110182289,2592.25,-232.336083817,73.8879690021,1.0,1.0,0.0,1.0,214.0
17.0,11112214.0,4.0,216.014214005,112.671856622,2594.85,-232.29773529,73.449643335,1.0,1.0,1.0,1.0,214.0
17.0,12002197.0,4.0,234.778187729,101.801344443,2601.15,-213.533761567,141.023557729,1.0,2.0,0.0,0.0,197.0
17.0,12012197.0,4.0,234.854884782,102.677995777,2602.25,-213.457064513,141.900209064,1.0,2.0,0.0,1.0,197.0
17.0,12112197.0,4.0,234.816536255,102.23967011,2604.85,-213.49541304,141.461883396,1.0,2.0,1.0,1.0,197.0
17.0,13002205.0,4.0,225.012214055,108.276226925,2611.15,-225.012214055,108.276226925,1.0,3.0,0.0,0.0,205.0
17.0,13012205.0,4.0,225.012214055,109.156226925,2612.25,-225.012214055,109.156226925,1.0,3.0,0.0,1.0,205.0
17.0,13112205.0,4.0,225.012214055,108.716226925,2614.85,-225.012214055,108.716226925,1.0,3.0,1.0,1.0,205.0
